size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
2,0,874,0,0,0,16,0,0,0
4,0,797,0,0,0,0,0,0,0
8,0,812,0,0,0,0,0,0,0
16,0,781,0,0,0,0,16,0,0
32,0,937,0,0,0,16,0,0,0
64,0,843,0,0,0,0,16,0,0
128,0,859,0,0,0,0,32,0,0
256,0,875,0,0,0,0,78,0,0
512,0,875,0,0,0,0,156,0,0
1024,0,1000,0,0,0,15,407,0,0
2048,0,1188,0,0,0,0,1000,0,0
4096,15,1594,0,0,0,15,2267,0,0
8192,0,2453,0,16,0,0,4077,0,0
16384,0,4454,0,16,0,0,6671,0,16
32768,0,8860,0,16,0,15,11519,0,16
65536,0,19691,16,16,0,15,15455,0,15
131072,0,17078,16,15,16,0,12378,0,15
