size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
2,94,0,15,0,0,0,0,0,0
4,94,0,0,0,0,15,0,0,0
8,94,0,0,15,0,0,0,0,0
16,94,0,0,0,16,0,0,0,0
32,109,0,0,0,0,0,0,0,0
64,109,0,0,0,0,0,0,0,0
128,141,0,0,16,0,0,15,0,0
256,109,0,16,15,16,0,15,0,16
512,125,0,15,31,31,31,16,0,16
1024,141,15,16,78,55,55,62,0,47
2048,172,31,31,156,157,140,125,0,110
4096,250,62,78,281,281,298,265,0,219
8192,344,125,141,515,516,515,469,0,359
16384,500,234,188,813,897,843,844,0,547
32768,516,234,219,1062,1141,984,859,0,531
65536,610,281,250,1438,1281,1266,1063,0,578
131072,594,296,250,1468,1344,1391,1015,0,594
