size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
2,45,27,0,71,73,72,0,92,2
4,13,18,0,71,71,71,1,84,1
8,12,26,0,70,75,73,1,90,1
16,14,19,0,73,69,74,1,76,0
32,11,18,0,74,72,73,2,85,2
64,14,28,0,74,72,76,5,93,2
128,12,21,0,77,74,75,10,92,3
256,13,22,0,76,71,77,20,92,3
512,18,23,0,76,76,77,51,102,3
1024,20,25,2,80,78,78,134,123,5
2048,24,24,5,80,79,78,390,164,6
4096,31,34,16,81,81,83,1132,230,9
8192,48,54,42,84,83,87,2365,388,9
