size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,mostQueried,resourceFromUser
5000,0,15,0,15,0,0,141
5000,0,0,0,15,0,0,172
5000,0,0,0,16,0,0,78
5000,0,16,0,16,0,0,62
5000,0,0,0,15,0,0,63
5000,16,17,0,0,0,0,156
5000,0,0,0,16,0,0,78
5000,16,0,16,0,16,0,93
5000,16,0,15,15,0,0,157
5000,47,31,78,15,32,15,250
10000,15,0,31,0,16,0,94
10000,16,16,17,15,0,0,94
10000,15,15,16,0,0,0,110
10000,15,16,16,0,0,0,109
10000,31,16,0,0,16,0,93
10000,16,0,16,0,16,0,93
10000,31,0,15,0,0,0,110
10000,16,0,15,16,0,0,94
10000,16,16,16,0,16,0,93
10000,32,0,16,0,15,0,94
15000,47,15,32,0,0,0,141
15000,31,15,16,0,16,0,125
15000,47,15,16,0,15,0,126
15000,31,15,16,16,0,0,125
15000,31,15,16,16,0,0,125
15000,31,15,16,16,0,0,125
15000,31,15,16,0,16,0,141
15000,16,16,16,16,0,0,140
15000,32,31,16,0,0,0,125
15000,47,15,16,0,0,0,125
20000,31,31,16,0,0,0,172
20000,32,15,16,0,0,0,172
20000,32,16,17,15,0,0,156
20000,31,31,15,0,0,0,157
20000,32,31,16,0,15,0,172
20000,63,16,16,0,0,0,187
20000,31,15,16,16,0,0,188
20000,31,32,15,16,0,0,140
20000,31,16,16,16,0,0,156
20000,32,16,31,15,0,0,172
25000,31,31,31,16,0,0,188
25000,47,32,31,16,0,0,171
25000,31,32,31,0,16,0,171
25000,32,31,31,0,0,0,187
25000,62,15,32,0,16,0,172
25000,78,16,33,0,0,0,234
25000,32,32,15,15,0,0,203
25000,31,32,31,0,0,0,203
25000,31,32,31,16,0,0,187
25000,47,31,31,0,0,0,203
30000,31,31,31,0,0,0,219
30000,79,32,31,15,0,0,203
30000,31,31,47,0,15,0,204
30000,94,32,47,0,16,0,249
30000,31,31,31,16,0,0,250
30000,31,31,47,0,0,0,235
30000,31,31,32,0,0,0,234
30000,16,31,32,16,0,0,218
30000,63,31,47,15,0,0,235
30000,24,47,31,16,0,0,250
35000,47,47,32,0,16,0,234
35000,125,47,31,0,0,0,235
35000,31,32,31,16,0,0,296
35000,62,46,47,0,0,0,266
35000,31,47,31,16,0,0,265
35000,62,31,47,0,0,0,282
35000,134,78,78,15,0,0,328
35000,109,47,31,16,0,0,250
35000,31,31,31,0,16,0,297
35000,63,47,47,0,15,0,219
40000,110,47,46,15,0,0,251
40000,125,31,47,15,0,0,266
40000,109,47,47,16,0,0,312
40000,79,47,31,0,15,0,297
40000,62,47,47,0,0,0,281
40000,78,47,31,0,15,0,297
40000,62,47,47,0,16,0,281
40000,125,46,47,0,0,0,328
40000,125,47,47,0,0,0,343
40000,125,47,46,0,0,0,266
45000,109,47,47,16,0,0,281
45000,46,47,47,0,0,0,297
45000,109,47,62,0,0,0,344
45000,125,47,62,0,0,0,328
45000,93,47,47,16,0,0,328
45000,141,47,46,0,0,0,328
45000,109,63,47,0,0,0,297
45000,94,47,63,15,0,0,359
45000,125,47,63,0,16,0,281
45000,94,47,47,16,0,0,296
50000,157,62,47,0,15,0,313
50000,125,47,62,16,0,0,390
50000,140,47,63,0,0,0,375
50000,125,47,47,15,0,0,391
50000,141,46,63,0,0,0,391
50000,94,63,47,16,0,0,312
50000,109,62,47,0,0,16,328
50000,156,62,47,0,16,0,297
50000,94,47,47,0,0,0,312
50000,109,47,62,0,0,0,345
55000,110,63,78,0,0,0,359
55000,109,78,110,15,0,0,422
55000,125,78,78,0,16,0,547
55000,110,63,62,0,0,0,430
55000,109,47,63,0,0,0,406
55000,125,79,78,0,0,0,468
55000,141,63,62,0,15,0,328
55000,63,62,63,16,0,0,328
55000,140,62,63,0,16,0,344
55000,141,62,63,0,0,0,375
60000,187,62,78,0,16,0,375
60000,187,63,78,16,0,0,484
60000,203,63,78,0,0,0,484
60000,188,62,78,0,16,0,453
60000,203,62,78,16,0,0,422
60000,203,62,63,0,0,0,422
60000,203,63,78,0,0,0,390
60000,187,63,78,16,0,0,359
60000,187,78,93,0,0,0,485
60000,125,78,94,16,0,0,562
65000,79,62,78,0,0,0,406
65000,109,78,62,16,0,0,500
65000,188,62,78,0,15,0,485
65000,125,62,79,0,16,0,453
65000,109,78,63,0,16,0,390
65000,172,62,79,16,0,0,406
65000,172,62,78,15,0,0,438
65000,125,79,62,0,16,0,374
65000,125,62,78,0,16,0,469
65000,203,63,78,16,0,0,484
70000,109,78,78,16,0,0,406
70000,140,78,78,0,16,0,515
70000,203,62,78,0,0,0,500
70000,156,62,78,16,0,0,469
70000,218,63,78,0,0,0,422
70000,218,78,78,0,0,0,407
70000,109,78,78,16,0,0,422
70000,187,78,83,0,0,0,469
70000,109,78,78,0,16,0,469
70000,188,62,78,0,0,0,531
75000,203,78,78,16,31,0,688
75000,172,78,78,0,0,0,547
75000,187,78,94,16,0,0,484
75000,172,78,94,0,15,0,453
75000,187,78,78,16,0,0,453
75000,187,94,78,0,16,0,453
75000,172,94,78,15,0,0,438
75000,188,93,79,0,0,0,500
75000,203,78,79,0,0,0,547
75000,172,78,78,0,16,0,594
80000,188,94,94,15,0,0,609
80000,187,78,93,16,0,0,594
80000,203,78,93,0,16,0,532
80000,235,78,94,15,0,0,500
80000,250,94,93,0,15,0,469
80000,235,78,93,15,0,0,485
80000,250,78,94,16,0,0,484
80000,203,78,94,0,0,0,547
80000,203,93,94,0,15,0,563
80000,172,78,93,15,0,0,610
85000,266,94,93,16,0,0,609
85000,204,93,110,0,0,0,578
85000,296,94,94,0,16,0,531
85000,218,94,109,16,0,0,500
85000,265,94,93,0,16,0,531
85000,219,94,94,0,15,0,500
85000,235,93,110,0,15,0,673
85000,187,94,94,16,0,0,578
85000,265,94,93,0,16,0,609
85000,234,94,94,0,16,0,656
90000,188,94,109,15,0,0,672
90000,187,94,109,0,16,0,609
