size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
5000,0,469,15,0,0,0,78,0,0
10000,0,625,0,0,0,0,125,16,0
15000,0,859,0,0,0,0,172,0,0
20000,0,1141,0,0,0,0,188,15,0
25000,0,1484,0,0,0,0,265,0,0
30000,0,1844,0,16,0,0,296,0,0
35000,0,2266,0,16,0,0,328,0,0
40000,15,2641,0,0,0,0,375,0,0
45000,0,3109,15,0,0,0,422,16,0
50000,0,3562,0,0,0,0,453,0,0
55000,0,4077,0,0,0,0,609,0,0
60000,0,4796,0,0,0,0,656,16,0
65000,0,5516,16,0,0,0,703,0,0
70000,0,6701,0,0,0,0,766,0,0
75000,0,4781,0,0,15,0,766,0,0
80000,0,9171,16,0,0,0,860,15,0
85000,0,5265,0,0,16,0,843,0,0
90000,0,5610,0,16,0,0,874,0,0
95000,0,5952,0,0,0,0,922,0,0
100000,0,17873,0,0,0,0,953,15,0
