size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
5000,31,15,16,16,31,16,109,297,0
10000,47,37,32,15,16,15,220,453,0
15000,125,47,78,16,15,16,297,578,0
20000,171,63,78,16,16,15,406,735,15
25000,250,78,109,16,16,15,438,890,0
30000,140,140,156,16,31,16,625,1281,16
35000,281,140,141,15,16,16,547,1203,0
40000,266,156,188,31,16,15,625,1344,0
45000,485,187,188,16,15,16,687,1359,16
50000,391,265,235,31,0,31,850,1641,0
55000,375,281,250,78,78,62,907,1781,0
60000,547,281,281,15,16,16,1218,2094,0
65000,547,312,297,31,15,16,1062,2047,0
70000,437,407,296,16,31,15,1235,2311,0
75000,641,375,313,31,16,15,1109,2328,0
80000,828,375,328,31,16,16,1343,2718,0
85000,922,437,360,31,16,15,1422,3034,0
90000,906,438,390,32,15,16,1359,2734,0
95000,656,468,500,31,16,16,1437,3421,16
100000,484,484,438,15,16,16,1687,3294,0
