size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
5000,16,0,0,15,16,31,0,516,0
10000,47,16,0,16,15,20,3,665,0
15000,31,0,0,15,16,16,0,828,0
20000,0,16,0,16,15,16,16,1031,0
25000,16,0,0,16,15,16,15,1219,0
30000,15,0,16,16,16,15,16,1546,0
35000,16,15,0,16,15,16,47,1797,0
40000,16,15,0,15,16,31,63,2140,0
45000,16,15,0,16,15,16,109,2422,0
50000,16,31,0,16,15,16,141,2749,0
55000,0,31,16,31,15,16,156,3047,0
60000,15,31,0,16,16,15,195,3352,0
65000,16,32,0,16,15,31,220,3702,0
70000,15,31,0,16,15,32,250,4046,0
75000,78,94,0,62,32,31,47,3531,15
80000,94,94,0,31,16,15,47,3562,0
85000,93,109,0,32,31,16,62,4231,0
90000,32,94,0,62,31,47,47,4499,0
95000,47,110,15,47,31,16,46,4875,0
100000,62,125,0,63,15,32,62,5140,15
